video_id,video_title,video_desc,video_published_at,duration_iso8601,view_count,like_count,comment_count,v_thumb_default,v_thumb_medium,v_thumb_high,live_actual_start,live_actual_end,live_scheduled_start
abPmZCZZrFA,SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL MUSIC VIDEO,"Hãy cùng thưởng thức ca khúc ĐỪNG LÀM TRÁI TIM ANH ĐAU ngay tại đây nhé: 👉🏻 👉🏻 👉🏻  https://vivienm.lnk.to/DLTTAD 💍❤️‍🩹🧩

#DLTTAD #SonTungMTP #DungLamTraiTimAnhDau 

🚫🤲🏻♥️🙆🏻‍♂️😢

▶ More information about Sơn Tùng M-TP: 
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://www.youtube.com/sontungmtp
https://www.tiktok.com/@tiger050794 
https://twitter.com/sontungmtp777
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w

▶More information about M-TP Talent:
https://www.facebook.com/mtptalent
https://www.instagram.com/mtptalent
https://twitter.com/mtptalent

▶ More about M-TP ENTERTAINMENT
https://www.facebook.com/mtptown
https://mtpentertainment.com 
https://twitter.com/mtpent_official
https://www.instagram.com/mtpent_official

▶ CLICK TO SUBSCRIBE:  http://popsww.com/sontungmtp
#sontungmtp #sontung #mtp #mtpentertainment",2024-06-08 13:00:01+00:00,PT5M26S,156093693,1401306,251046,https://i.ytimg.com/vi/abPmZCZZrFA/default.jpg,https://i.ytimg.com/vi/abPmZCZZrFA/mqdefault.jpg,https://i.ytimg.com/vi/abPmZCZZrFA/hqdefault.jpg,,,
CQXQKr_3vKE,SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL TEASER,"ĐỪNG LÀM TRÁI TIM ANH ĐAU
❤️‍🩹
20:00 | 08-06-2024 

💭 Đã khắc ghi cuộc hẹn này trong tim chưaaaa? 👀

#DLTTAD 💍
#SonTungMTP

▶ More information about Sơn Tùng M-TP: 
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://www.youtube.com/sontungmtp
https://www.tiktok.com/@tiger050794 
https://twitter.com/sontungmtp777
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w

▶More information about M-TP Talent:
https://www.facebook.com/mtptalent
https://www.instagram.com/mtptalent
https://twitter.com/mtptalent

▶ More about M-TP ENTERTAINMENT
https://www.facebook.com/mtptown
https://mtpentertainment.com 
https://twitter.com/mtpent_official
https://www.instagram.com/mtpent_official

▶ CLICK TO SUBSCRIBE:  http://popsww.com/sontungmtp
#sontungmtp #sontung #mtp #mtpentertainment",2024-05-29 12:58:00+00:00,PT22S,1772288,72234,5781,https://i.ytimg.com/vi/CQXQKr_3vKE/default.jpg,https://i.ytimg.com/vi/CQXQKr_3vKE/mqdefault.jpg,https://i.ytimg.com/vi/CQXQKr_3vKE/hqdefault.jpg,,,
gH-zvjVICMM,ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹 -coming soon- #DLTTAD 💍 #SonTungMTP,ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹 -coming soon- #DLTTAD 💍 #SonTungMTP,2024-05-25 12:00:42+00:00,PT10S,975470,33904,725,https://i.ytimg.com/vi/gH-zvjVICMM/default.jpg,https://i.ytimg.com/vi/gH-zvjVICMM/mqdefault.jpg,https://i.ytimg.com/vi/gH-zvjVICMM/hqdefault.jpg,,,
PKX7Wf-no3I,… 👀 #DLTTAD 💍,… 👀 #DLTTAD 💍,2024-05-22 12:03:11+00:00,PT17S,532185,14134,251,https://i.ytimg.com/vi/PKX7Wf-no3I/default.jpg,https://i.ytimg.com/vi/PKX7Wf-no3I/mqdefault.jpg,https://i.ytimg.com/vi/PKX7Wf-no3I/hqdefault.jpg,,,
cyKJyol7vLg,Main Poster: ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹,"❤️‍🩹
20:00 | 08-06-2024 

💭 NHỚ ĐẤY 👀

#DLTTAD 💍
#SonTungMTP",2024-05-31 13:15:03+00:00,PT10S,446272,17734,321,https://i.ytimg.com/vi/cyKJyol7vLg/default.jpg,https://i.ytimg.com/vi/cyKJyol7vLg/mqdefault.jpg,https://i.ytimg.com/vi/cyKJyol7vLg/hqdefault.jpg,,,
IpDNg7Xj2R4,SƠN TÙNG M-TP | 7-MINUTE STAGE | CHÚNG TA CỦA TƯƠNG LAI,"Hãy cùng nhau thưởng thức lại màn trình diễn LIVE PERFORMANCE ĐẦU TIÊN của CHÚNG TA CỦA TƯƠNG LAI tại 7-MINUTE STAGE nàooooo !!! 🔥🔥🔥

Và đừng quên tiếp tục ủng hộ bài hát trên các nền tảng nghe nhạc số nhéeee: https://mtp.bfan.link/chung-ta-cua-tuong-lai 🪐🪐🪐✨✨✨
🎶🎶🎶

Tùng yêu mọi người rất nhiều ♥️♥️♥️

#SonTungMTP #chungtacuatuonglai #haitu #7minutestage

▶ More information about Sơn Tùng M-TP: 
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://www.youtube.com/sontungmtp 
https://twitter.com/sontungmtp777
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w

▶More information about M-TP Talent:
https://www.facebook.com/mtptalent
https://www.instagram.com/mtptalent
https://twitter.com/mtptalent

▶ More about M-TP ENTERTAINMENT
https://www.facebook.com/mtptown
https://mtpentertainment.com 
https://twitter.com/mtpent_official
https://www.instagram.com/mtpent_official

▶ CLICK TO SUBSCRIBE:  http://popsww.com/sontungmtp
#sontungmtp #sontung #mtp #mtpentertainment",2024-03-23 12:00:12+00:00,PT7M41S,4751844,98323,9537,https://i.ytimg.com/vi/IpDNg7Xj2R4/default.jpg,https://i.ytimg.com/vi/IpDNg7Xj2R4/mqdefault.jpg,https://i.ytimg.com/vi/IpDNg7Xj2R4/hqdefault.jpg,,,
zoEtcR5EW08,SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL MUSIC VIDEO,"Hãy thưởng thức ca khúc CHÚNG TA CỦA TƯƠNG LAI ngay tại đây: https://MTP.bfan.link/chung-ta-cua-tuong-lai 🪐🪐🪐✨✨✨

#chungtacuatuonglai #ctctl #sontungmtp #haitu

▶ More information about Sơn Tùng M-TP: 
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://www.youtube.com/sontungmtp 
https://twitter.com/sontungmtp777
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w

▶More information about M-TP Talent:
https://www.facebook.com/mtptalent
https://www.instagram.com/mtptalent
https://twitter.com/mtptalent

▶ More about M-TP ENTERTAINMENT
https://www.facebook.com/mtptown
https://mtpentertainment.com 
https://twitter.com/mtpent_official
https://www.instagram.com/mtpent_official

▶ CLICK TO SUBSCRIBE:  http://popsww.com/sontungmtp
#sontungmtp #sontung #mtp #mtpentertainment",2024-03-07 17:00:50+00:00,PT4M37S,84190757,915407,269981,https://i.ytimg.com/vi/zoEtcR5EW08/default.jpg,https://i.ytimg.com/vi/zoEtcR5EW08/mqdefault.jpg,https://i.ytimg.com/vi/zoEtcR5EW08/hqdefault.jpg,,,
9K-82fomFhA,SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL TEASER,"Cảm ơn tất cả các bạn đã luôn yêu thương và ủng hộ Tùng ! Bài hát mới 🪐 CHÚNG TA CỦA TƯƠNG LAI 🪐 sẽ được ra mắt vào 00:00 ngày 08/03 này ‼️

Hãy PRE-SAVE ngay để không bỏ lỡ nhau nha: https://MTP.bfan.link/chung-ta-cua-tuong-lai 👈🏼👈🏼👈🏼✨✨✨

#chungtacuatuonglai #ctctl #sontungmtp #haitu 

▶ More information about Sơn Tùng M-TP: 
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://www.youtube.com/sontungmtp 
https://twitter.com/sontungmtp777
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w

▶More information about M-TP Talent:
https://www.facebook.com/mtptalent
https://www.instagram.com/mtptalent
https://twitter.com/mtptalent

▶ More about M-TP ENTERTAINMENT
https://www.facebook.com/mtptown
https://mtpentertainment.com 
https://twitter.com/mtpent_official
https://www.instagram.com/mtpent_official

▶ CLICK TO SUBSCRIBE:  http://popsww.com/sontungmtp",2024-03-01 12:00:08+00:00,PT37S,1381159,66844,5975,https://i.ytimg.com/vi/9K-82fomFhA/default.jpg,https://i.ytimg.com/vi/9K-82fomFhA/mqdefault.jpg,https://i.ytimg.com/vi/9K-82fomFhA/hqdefault.jpg,,,
6jGbAKQ7KoM,ACOUSTIC DEMO | CHÚNG TA CỦA TƯƠNG LAI,"Một chút giai điệu từ CHÚNG TA CỦA TƯƠNG LAI… 

🎶🎶🎶

Đừng quên cuộc hẹn vào 00:00 ngày 08/03 đó nhé 🪐🪐🪐

#chungtacuatuonglai 

▶ More information about Sơn Tùng M-TP: 
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://www.youtube.com/sontungmtp 
https://twitter.com/sontungmtp777
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w

▶More information about M-TP Talent:
https://www.facebook.com/mtptalent
https://www.instagram.com/mtptalent
https://twitter.com/mtptalent

▶ More about M-TP ENTERTAINMENT
https://www.facebook.com/mtptown
https://mtpentertainment.com 
https://twitter.com/mtpent_official
https://www.instagram.com/mtpent_official

▶ CLICK TO SUBSCRIBE:  http://popsww.com/sontungmtp
#sontungmtp #sontung #mtp #mtpentertainment",2024-03-04 12:30:02+00:00,PT52S,918822,44764,782,https://i.ytimg.com/vi/6jGbAKQ7KoM/default.jpg,https://i.ytimg.com/vi/6jGbAKQ7KoM/mqdefault.jpg,https://i.ytimg.com/vi/6jGbAKQ7KoM/hqdefault.jpg,,,
zzHuPgs1nTk,ĐÃ BẢO ĐỪNG BẬT NỮA ...!,".. Bật lên là phải hát ... 😳😂 

#chungtacuatuonglai #sontungmtp #haitu #ctctl 

▶ Hãy thưởng thức ca khúc CHÚNG TA CỦA TƯƠNG LAI tại: https://MTP.bfan.link/chung-ta-cua-tuong-lai 🪐🪐🪐✨✨✨

▶ More information about Sơn Tùng M-TP: 
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://www.youtube.com/sontungmtp 
https://twitter.com/sontungmtp777
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w

▶More information about M-TP Talent:
https://www.facebook.com/mtptalent
https://www.instagram.com/mtptalent
https://twitter.com/mtptalent

▶ More about M-TP ENTERTAINMENT
https://www.facebook.com/mtptown
https://mtpentertainment.com 
https://twitter.com/mtpent_official
https://www.instagram.com/mtpent_official

▶ CLICK TO SUBSCRIBE:  http://popsww.com/sontungmtp
#sontungmtp #sontung #mtp #mtpentertainment",2024-03-08 05:20:43+00:00,PT47S,1624618,78736,1343,https://i.ytimg.com/vi/zzHuPgs1nTk/default.jpg,https://i.ytimg.com/vi/zzHuPgs1nTk/mqdefault.jpg,https://i.ytimg.com/vi/zzHuPgs1nTk/hqdefault.jpg,,,
